LoksabhaName,VidhansabhaName,LocalUnitName,LocalUnitType
Jhalawar,Anta,29,Ward
Jhalawar,Anta,30,Ward
Jhalawar,Anta,31,Ward
Jhalawar,Anta,32,Ward
Jhalawar,Anta,33,Ward
Jhalawar,Anta,34,Ward
Jhalawar,Anta,35,Ward
Jhalawar,Anta,1,Ward
Jhalawar,Anta,2,Ward
Jhalawar,Anta,3,Ward
Jhalawar,Anta,4,Ward
Jhalawar,Anta,5,Ward
Jhalawar,Anta,6,Ward
Jhalawar,Anta,7,Ward
Jhalawar,Anta,8,Ward
Jhalawar,Anta,9,Ward
Jhalawar,Anta,10,Ward
Jhalawar,Anta,11,Ward
Jhalawar,Anta,12,Ward
Jhalawar,Anta,13,Ward
Jhalawar,Anta,14,Ward
Jhalawar,Anta,15,Ward
Jhalawar,Anta,16,Ward
Jhalawar,Anta,17,Ward
Jhalawar,Anta,18,Ward
Jhalawar,Anta,19,Ward
Jhalawar,Anta,20,Ward
Jhalawar,Anta,21,Ward
Jhalawar,Anta,22,Ward
Jhalawar,Anta,23,Ward
Jhalawar,Anta,24,Ward
Jhalawar,Anta,25,Ward
Jhalawar,Anta,26,Ward
Jhalawar,Anta,27,Ward
Jhalawar,Anta,28,Ward
Jhalawar,Anta,29,Ward
Jhalawar,Anta,30,Ward
Jhalawar,Anta,31,Ward
Jhalawar,Anta,32,Ward
Jhalawar,Anta,33,Ward
Jhalawar,Anta,34,Ward
Jhalawar,Anta,35,Ward
Jaipur,Kishanpole,Ward  Name,Gram Panchayat
Jaipur,Kishanpole,55,Ward
Jaipur,Kishanpole,56,Ward
Jaipur,Kishanpole,57,Ward
Jaipur,Kishanpole,58,Ward
Jaipur,Kishanpole,59,Ward
Jaipur,Kishanpole,60,Ward
Jaipur,Kishanpole,61,Ward
Jaipur,Kishanpole,62,Ward
Jaipur,Kishanpole,63,Ward
Jaipur,Kishanpole,64,Ward
Jaipur,Kishanpole,65,Ward
Jaipur,Kishanpole,66,Ward
Jaipur,Kishanpole,67,Ward
Jaipur,Kishanpole,68,Ward
Jaipur,Kishanpole,69,Ward
Jaipur,Kishanpole,70,Ward
Jaipur,Kishanpole,71,Ward
Jaipur,Kishanpole,72,Ward
Jaipur,Kishanpole,73,Ward
Jaipur,Kishanpole,74,Ward
Jaipur,Kishanpole,75,Ward
Jaipur,Civil Lines,31,Ward
Jaipur,Civil Lines,32,Ward
Jaipur,Civil Lines,33,Ward
Jaipur,Civil Lines,34,Ward
Jaipur,Civil Lines,35,Ward
Jaipur,Civil Lines,36,Ward
Jaipur,Civil Lines,37,Ward
Jaipur,Civil Lines,38,Ward
Jaipur,Civil Lines,39,Ward
Jaipur,Civil Lines,40,Ward
Jaipur,Civil Lines,41,Ward
Jaipur,Civil Lines,42,Ward
Jaipur,Civil Lines,43,Ward
Jaipur,Civil Lines,44,Ward
Jaipur,Civil Lines,45,Ward
Jaipur,Civil Lines,46,Ward
Jaipur,Civil Lines,47,Ward
Jaipur,Civil Lines,48,Ward
Jaipur,Civil Lines,49,Ward
Jaipur,Civil Lines,50,Ward
Jaipur,Civil Lines,51,Ward
Jaipur,Civil Lines,52,Ward
Jaipur,Civil Lines,53,Ward
Jaipur,Civil Lines,54,Ward
Ajmer,Dudu,Bingolow,Gram Panchayat
Ajmer,Dudu,Dantari (DANTRI),Gram Panchayat
Ajmer,Dudu,Dhandholi,Gram Panchayat
Ajmer,Dudu,Dudu,Gram Panchayat
Ajmer,Dudu,Gahlota,Gram Panchayat
Ajmer,Dudu,Gainji,Gram Panchayat
Ajmer,Dudu,Gangardoo,Gram Panchayat
Ajmer,Dudu,Harsoli,Gram Panchayat
Ajmer,Dudu,Jadawata (जड़ावता),Gram Panchayat
Ajmer,Dudu,Mamana,Gram Panchayat
Ajmer,Dudu,Marwa,Gram Panchayat
Ajmer,Dudu,Nanan,Gram Panchayat
Ajmer,Dudu,Padasoli,Gram Panchayat
Ajmer,Dudu,Rahalana,Gram Panchayat
Ajmer,Dudu,Sakhoon,Gram Panchayat
Ajmer,Dudu,Sali,Gram Panchayat
Ajmer,Dudu,Sirohi Kalan,Gram Panchayat
Ajmer,Dudu,Sunadiya,Gram Panchayat
Ajmer,Dudu,Ursewa,Gram Panchayat
Ajmer,Dudu,Akhepura,Gram Panchayat
Ajmer,Dudu,Bichun,Gram Panchayat
Ajmer,Dudu,Biharipura,Gram Panchayat
Ajmer,Dudu,Boraj,Gram Panchayat
Ajmer,Dudu,damana,Gram Panchayat
Ajmer,Dudu,Gadota,Gram Panchayat
Ajmer,Dudu,Gagati Kalan,Gram Panchayat
Ajmer,Dudu,Gidani,Gram Panchayat
Ajmer,Dudu,Gudha Bairsal,Gram Panchayat
Ajmer,Dudu,Jhag,Gram Panchayat
Ajmer,Dudu,Jharna,Gram Panchayat
Ajmer,Dudu,Khudiala,Gram Panchayat
Ajmer,Dudu,Mehla,Gram Panchayat
Ajmer,Dudu,Mangalwara,Gram Panchayat
Ajmer,Dudu,Mokampura,Gram Panchayat
Ajmer,Dudu,Mojmabad,Gram Panchayat
Ajmer,Dudu,Rasili,Gram Panchayat
Ajmer,Dudu,Sanwali,Gram Panchayat
Ajmer,Dudu,Bhojpura,Gram Panchayat
Ajmer,Dudu,Chhakwara,Gram Panchayat
Ajmer,Dudu,Choru,Gram Panchayat
Ajmer,Dudu,Kansel,Gram Panchayat
Ajmer,Dudu,Kishorpura,Gram Panchayat
Ajmer,Dudu,Kudli,Gram Panchayat
Ajmer,Dudu,Ladana,Gram Panchayat
Ajmer,Dudu,Lasariya,Gram Panchayat
Ajmer,Dudu,Mundawari,Gram Panchayat
Ajmer,Dudu,Mandi,Gram Panchayat
Ajmer,Dudu,Mandor,Gram Panchayat
Ajmer,Dudu,Mendwas,Gram Panchayat
Ajmer,Dudu,Nareda,Gram Panchayat
Ajmer,Dudu,Nimeda,Gram Panchayat
Ajmer,Dudu,Pachala,Gram Panchayat
Ajmer,Dudu,Parvan,Gram Panchayat
Ajmer,Dudu,Rotwara,Gram Panchayat
Ajmer,Dudu,Sawai Jai Singhpura,Gram Panchayat
Ajmer,Dudu,Sultaniya,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Ajnoti,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Atoon Kalan,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Badolas,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Bandha (बन्धा),Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Bhadlav,Gram Panchayat
Tonk-Sawaimadhopur,Sawai Madhopur,Bhoori Pahari,Gram Panchayat
